,Name,Brand,Model,Manafacture Year,Color,Mileage,Price,Location,Listing Date
5413,Mercedes GLA 2019,Mercedes,GLA,2019,Black,1750100,2150000,Mohandessin,18/05/2024
5414,Mercedes S 350 2009,Mercedes,S 350,2009,Black,877790,2500000,Tagamo3 - New Cairo,18/05/2024
5415,Mercedes C 180 2018,Mercedes,C 180,2018,Dark blue,920000,2380000,Sheikh Zayed City,18/05/2024
5416,Mercedes C 180 2011,Mercedes,C 180,2011,Black,1750000,1100000,Nasr city,18/05/2024
5417,Mercedes C 180 2011,Mercedes,C 180,2011,Bronze,1920000,1200000,Alexandria,18/05/2024
5418,Mercedes C 180 2004,Mercedes,C 180,2004,Gray,2200000,690000,Madinaty,18/05/2024
5419,Mercedes 200 1993,Mercedes,200,1993,Black,4500000,450000,Giza,18/05/2024
5420,Mercedes E 200 AMG 1992,Mercedes,E 200 AMG,1992,Dark red,0,450000,Maadi,18/05/2024
5421,Mercedes C 200 2022,Mercedes,C 200,2022,Silver,100000,3075000,Tagamo3 - New Cairo,18/05/2024
5422,Mercedes A 200 2021,Mercedes,A 200,2021,White,370000,2325000,Tagamo3 - New Cairo,17/05/2024
5423,Mercedes C 180 2012,Mercedes,C 180,2012,Black,1550000,1210000,Tagamo3 - New Cairo,17/05/2024
5424,Mercedes GLC 200 2021,Mercedes,GLC 200,2021,Gray,690000,1170000,Heliopolis,17/05/2024
5425,Mercedes A 200 2021,Mercedes,A 200,2021,Dark grey,380000,2350000,Alexandria,17/05/2024
5426,Mercedes B 180 2015,Mercedes,B 180,2015,Silver,1820000,1250000,Zamalek,17/05/2024
5427,Mercedes C 200 AMG 2008,Mercedes,C 200 AMG,2008,Red,1230000,1300000,Obour City,17/05/2024
5428,Mercedes GLC 200 2024,Mercedes,GLC 200,2024,Black,0,7250000,Sheikh Zayed City,17/05/2024
5429,Mercedes C 180 2012,Mercedes,C 180,2012,Black,2200000,1300000,Cairo,17/05/2024
